ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
871396.BJ,20250702,39.13,43.87,39.07,41.2,40.68,0.52,1.2783,96832.11,399656.75
871396.BJ,20250701,39.55,43.01,39.5,40.68,38.72,1.96,5.062,106465.88,437498.777
871396.BJ,20250630,37.29,39.88,37.16,38.72,37.16,1.56,4.1981,64847.15,248716.883
871396.BJ,20250627,37.64,38.28,37.11,37.16,37.9,-0.74,-1.9525,41043.81,154031.004
871396.BJ,20250626,37.75,38.58,37.15,37.9,38.76,-0.86,-2.2188,53508.34,202628.03
871396.BJ,20250625,39.92,40.55,38.3,38.76,38.83,-0.07,-0.1803,54888.71,214773.533
871396.BJ,20250624,37.8,39.26,37.0,38.83,38.96,-0.13,-0.3337,53418.09,205969.049
871396.BJ,20250623,36.67,38.99,36.3,38.96,36.5,2.46,6.7397,61205.7,231845.257
871396.BJ,20250620,37.73,38.94,36.35,36.5,38.49,-1.99,-5.1702,58080.33,215909.973
871396.BJ,20250619,40.28,40.77,37.19,38.49,41.93,-3.44,-8.2041,94940.23,371082.144
871396.BJ,20250618,42.88,44.76,41.31,41.93,42.46,-0.53,-1.2482,98410.75,423491.157
871396.BJ,20250617,41.92,43.69,41.12,42.46,40.94,1.52,3.7128,89746.74,381432.542
871396.BJ,20250616,39.98,42.3,39.98,40.94,41.26,-0.32,-0.7756,70608.19,289042.951
871396.BJ,20250613,41.14,44.8,40.68,41.26,42.61,-1.35,-3.1683,114205.0,487838.688
871396.BJ,20250612,40.35,45.0,40.1,42.61,38.81,3.8,9.7913,130447.0,552225.931
871396.BJ,20250611,40.2,40.2,37.36,38.81,40.61,-1.8,-4.4324,73255.4,284600.449
871396.BJ,20250610,49.3,51.99,48.5,48.98,50.5,-1.52,-3.0099,90890.25,453956.455
871396.BJ,20250609,46.6,51.06,44.8,50.5,45.18,5.32,11.7751,104444.76,498525.985
871396.BJ,20250606,43.96,45.76,42.87,45.18,43.75,1.43,3.2686,63237.27,281377.417
871396.BJ,20250605,43.35,45.99,43.28,43.75,45.48,-1.73,-3.8039,66036.35,291422.689
871396.BJ,20250604,46.07,48.6,45.48,45.48,44.3,1.18,2.6637,85270.05,401057.87
871396.BJ,20250603,42.61,44.49,42.2,44.3,43.08,1.22,2.8319,50083.8,217643.774
871396.BJ,20250530,46.05,46.05,43.01,43.08,47.7,-4.62,-9.6855,73696.03,323522.956
871396.BJ,20250529,46.5,50.04,46.31,47.7,48.15,-0.45,-0.9346,92860.07,444191.137
871396.BJ,20250528,47.96,53.8,47.8,48.15,49.8,-1.65,-3.3133,107074.11,545021.348
871396.BJ,20250527,51.0,55.0,48.0,49.8,53.5,-3.7,-6.9159,125313.17,633124.075
871396.BJ,20250526,46.8,57.37,44.99,53.5,45.9,7.6,16.5577,153822.66,793535.662
871396.BJ,20250523,42.45,48.51,42.06,45.9,41.68,4.22,10.1248,132168.51,597468.761
871396.BJ,20250522,41.15,45.09,41.15,41.68,42.35,-0.67,-1.5821,92899.41,399000.83
871396.BJ,20250521,43.1,46.66,41.0,42.35,45.19,-2.84,-6.2846,124852.01,536945.243
871396.BJ,20250520,47.05,52.8,43.85,45.19,49.6,-4.41,-8.8911,142474.84,680197.343
871396.BJ,20250519,38.5,52.0,37.3,49.6,40.65,8.95,22.0172,159307.94,688357.047
871396.BJ,20250516,38.01,46.58,37.97,40.65,35.98,4.67,12.9794,139079.82,585796.74
871396.BJ,20250515,34.41,40.25,33.8,35.98,35.15,0.83,2.3613,115993.16,425093.935
871396.BJ,20250514,33.31,35.48,32.38,35.15,32.73,2.42,7.3938,87665.69,299951.673
871396.BJ,20250513,33.05,33.3,31.7,32.73,32.66,0.07,0.2143,55193.63,179686.395
871396.BJ,20250512,32.08,32.94,31.72,32.66,31.83,0.83,2.6076,50068.98,161665.075
871396.BJ,20250509,31.48,32.3,31.03,31.83,31.75,0.08,0.252,41084.71,130237.656
871396.BJ,20250508,31.43,32.7,31.0,31.75,32.0,-0.25,-0.7813,43796.07,139229.375
871396.BJ,20250507,31.57,32.83,31.4,32.0,32.87,-0.87,-2.6468,71564.67,228579.037
871396.BJ,20250506,29.72,33.51,29.67,32.87,28.95,3.92,13.5406,89969.69,290946.922
871396.BJ,20250430,29.2,29.52,28.7,28.95,29.3,-0.35,-1.1945,44412.91,129018.178
871396.BJ,20250429,30.8,31.48,29.2,29.3,33.0,-3.7,-11.2121,77666.78,235038.655
871396.BJ,20250428,36.16,37.93,32.95,33.0,32.38,0.62,1.9148,86773.73,305670.268
871396.BJ,20250425,32.04,33.0,31.51,32.38,31.72,0.66,2.0807,45900.83,147942.909
871396.BJ,20250424,33.5,34.6,31.7,31.72,33.26,-1.54,-4.6302,47750.1,156329.073
871396.BJ,20250423,33.08,34.8,31.6,33.26,34.03,-0.77,-2.2627,62167.4,205054.952
871396.BJ,20250422,35.07,36.38,33.81,34.03,35.11,-1.08,-3.076,42138.99,147158.936
871396.BJ,20250421,34.0,35.12,33.7,35.11,34.92,0.19,0.5441,48860.48,169062.968
871396.BJ,20250418,35.2,35.62,33.0,34.92,34.9,0.02,0.0573,65654.49,226269.802
871396.BJ,20250417,35.66,38.0,34.86,34.9,35.9,-1.0,-2.7855,73364.6,266333.292
871396.BJ,20250416,37.0,37.84,35.3,35.9,37.99,-2.09,-5.5014,66518.67,240495.222
871396.BJ,20250415,34.96,38.04,34.6,37.99,37.15,0.84,2.2611,101862.96,365420.219
871396.BJ,20250414,33.0,40.94,32.64,37.15,31.96,5.19,16.239,125842.54,463890.596
