ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300124.SZ,20250702,64.3,65.19,64.21,64.42,64.22,0.2,0.3114,220945.25,1427812.144
300124.SZ,20250701,64.5,64.57,63.81,64.22,64.57,-0.35,-0.542,137581.7,882152.811
300124.SZ,20250630,64.0,64.91,63.8,64.57,63.82,0.75,1.1752,200021.62,1289523.879
300124.SZ,20250627,65.56,65.56,63.8,63.82,64.27,-0.45,-0.7002,246325.92,1582398.133
300124.SZ,20250626,65.0,65.31,64.27,64.27,64.95,-0.68,-1.047,209157.3,1354696.184
300124.SZ,20250625,64.0,65.0,63.66,64.95,64.06,0.89,1.3893,223154.8,1437337.139
300124.SZ,20250624,62.23,64.1,62.23,64.06,61.95,2.11,3.406,260261.62,1654407.547
300124.SZ,20250623,61.5,62.16,61.44,61.95,61.85,0.1,0.1617,108210.03,669387.616
300124.SZ,20250620,61.86,62.45,61.56,61.85,61.95,-0.1,-0.1614,108408.82,671233.617
300124.SZ,20250619,62.28,63.09,61.93,61.95,62.45,-0.5,-0.8006,144169.13,901430.994
300124.SZ,20250618,62.05,62.64,61.98,62.45,62.19,0.26,0.4181,97239.83,606264.436
300124.SZ,20250617,62.78,63.11,62.05,62.19,62.74,-0.55,-0.8766,137349.93,856582.907
300124.SZ,20250616,63.78,63.78,62.51,62.74,63.79,-1.05,-1.646,202018.04,1270090.478
300124.SZ,20250613,63.85,65.28,63.6,63.79,63.7,0.09,0.1413,379586.12,2435313.797
300124.SZ,20250612,63.5,64.2,63.03,63.7,63.69,0.01,0.0157,148072.59,943298.934
300124.SZ,20250611,63.0,63.97,62.99,63.69,63.16,0.53,0.8391,142780.44,909096.858
300124.SZ,20250610,64.17,64.18,62.65,63.16,64.05,-0.89,-1.3895,180298.52,1141956.856
300124.SZ,20250609,64.12,64.62,63.71,64.05,64.11,-0.06,-0.0936,179704.75,1152382.492
300124.SZ,20250606,64.95,64.98,63.75,64.11,64.77,-0.66,-1.019,138190.75,886899.095
300124.SZ,20250605,65.03,65.37,64.39,65.18,64.87,0.31,0.4779,208846.15,1356899.878
300124.SZ,20250604,64.84,65.27,64.58,64.87,64.84,0.03,0.0463,107374.89,697436.424
300124.SZ,20250603,65.69,66.18,64.8,64.84,65.78,-0.94,-1.429,149172.92,972920.596
300124.SZ,20250530,66.7,67.26,65.77,65.78,67.08,-1.3,-1.938,118949.9,786771.196
300124.SZ,20250529,66.05,67.71,65.71,67.08,65.81,1.27,1.9298,177173.4,1187186.585
300124.SZ,20250528,65.77,66.38,65.34,65.81,65.77,0.04,0.0608,96998.29,638913.445
300124.SZ,20250527,66.5,66.91,65.51,65.77,66.65,-0.88,-1.3203,109855.87,723765.52
300124.SZ,20250526,66.5,67.22,66.21,66.65,66.5,0.15,0.2256,94331.91,629584.401
300124.SZ,20250523,66.94,67.87,66.5,66.5,67.23,-0.73,-1.0858,128456.26,863674.777
300124.SZ,20250522,68.11,68.6,67.02,67.23,68.77,-1.54,-2.2393,123294.47,833360.618
300124.SZ,20250521,68.49,69.1,67.9,68.77,68.53,0.24,0.3502,116470.24,797786.013
