ts_code,trade_date,pe,pb
688215.SH,20250702,127.5545,4.3822
688215.SH,20250701,126.1231,4.333
688215.SH,20250630,123.6833,4.2492
688215.SH,20250627,119.0964,4.0916
688215.SH,20250626,120.235,4.1307
688215.SH,20250625,123.4555,4.2414
688215.SH,20250624,119.259,4.0972
688215.SH,20250623,114.0215,3.9173
688215.SH,20250620,110.9636,3.8122
688215.SH,20250619,113.6637,3.905
688215.SH,20250618,116.9818,4.019
688215.SH,20250617,116.8517,4.0145
688215.SH,20250616,120.3651,4.1352
688215.SH,20250613,119.9422,4.1207
688215.SH,20250612,119.3892,4.1017
688215.SH,20250611,115.1926,3.9575
688215.SH,20250610,114.0866,3.9195
688215.SH,20250609,118.9988,4.0883
688215.SH,20250606,121.0808,4.1598
688215.SH,20250605,116.4614,4.0011
688215.SH,20250604,110.0527,3.7809
688215.SH,20250603,104.7176,3.5976
688215.SH,20250530,100.1958,3.4423
688215.SH,20250529,101.5621,3.4892
688215.SH,20250528,100.5862,3.4557
688215.SH,20250527,100.5536,3.4546
688215.SH,20250526,101.432,3.4848
688215.SH,20250523,100.5211,3.4535
688215.SH,20250522,102.7332,3.5295
688215.SH,20250521,104.9779,3.6066
688215.SH,20250520,105.3032,3.6178
688215.SH,20250519,101.6922,3.4937
688215.SH,20250516,100.9765,3.4691
688215.SH,20250515,99.0247,3.4021
688215.SH,20250514,98.6994,3.3909
688215.SH,20250513,100.8139,3.4635
688215.SH,20250512,100.1958,3.4423
688215.SH,20250509,96.78,3.3249
688215.SH,20250508,104.0995,3.5764
688215.SH,20250507,99.0897,3.4043
688215.SH,20250506,96.9752,3.3316
688215.SH,20250430,94.0149,3.2299
688215.SH,20250429,92.4859,3.1774
688215.SH,20250428,90.1762,3.0981
688215.SH,20250425,126.7158,3.077
688215.SH,20250424,122.8395,2.9829
688215.SH,20250423,122.5627,2.9762
688215.SH,20250422,119.1018,2.8921
688215.SH,20250421,118.8249,2.8854
688215.SH,20250418,112.8721,2.7409
688215.SH,20250417,112.2722,2.7263
688215.SH,20250416,109.0882,2.649
688215.SH,20250415,110.7033,2.6882
688215.SH,20250414,109.365,2.6557
688215.SH,20250411,108.8574,2.6434
688215.SH,20250410,105.7657,2.5683
688215.SH,20250409,101.1973,2.4574
688215.SH,20250408,98.7977,2.3991
688215.SH,20250407,94.137,2.2859
688215.SH,20250403,112.7337,2.7375
688215.SH,20250402,114.8564,2.789
688215.SH,20250401,114.0719,2.77
688215.SH,20250331,112.8721,2.7409
688215.SH,20250328,113.1951,2.7487
688215.SH,20250327,115.8254,2.8126
688215.SH,20250326,116.9329,2.8395
688215.SH,20250325,113.7027,2.761
688215.SH,20250324,114.9487,2.7913
688215.SH,20250321,121.0399,2.9392
688215.SH,20250320,125.4698,3.0468
