ts_code,trade_date,pe,pb
831305.BJ,20250702,61.9204,3.9115
831305.BJ,20250701,62.1979,3.929
831305.BJ,20250630,63.2526,3.9956
831305.BJ,20250627,63.7244,4.0254
831305.BJ,20250626,64.4183,4.0485
831305.BJ,20250625,65.7782,4.134
831305.BJ,20250624,65.695,4.1288
831305.BJ,20250623,61.5595,3.8689
831305.BJ,20250620,58.6731,3.6875
831305.BJ,20250619,61.9204,3.8916
831305.BJ,20250618,64.7791,4.0712
831305.BJ,20250617,63.7799,4.0084
831305.BJ,20250616,61.4208,3.8602
831305.BJ,20250613,61.7538,3.8811
831305.BJ,20250612,64.1962,4.0346
831305.BJ,20250611,63.8909,4.0154
831305.BJ,20250610,64.224,4.0363
831305.BJ,20250609,61.9759,3.895
831305.BJ,20250606,61.06,3.8375
831305.BJ,20250605,63.2803,3.977
831305.BJ,20250604,64.2517,4.0381
831305.BJ,20250603,61.4763,3.8636
831305.BJ,20250530,61.2265,3.8479
831305.BJ,20250529,62.2257,3.9107
831305.BJ,20250528,60.3939,3.7956
831305.BJ,20250527,62.864,3.9509
831305.BJ,20250526,64.0852,4.0276
831305.BJ,20250523,63.2526,3.9753
831305.BJ,20250522,64.7513,4.0695
831305.BJ,20250521,65.2509,4.1009
831305.BJ,20250520,70.441,4.4271
831305.BJ,20250519,64.5848,4.059
831305.BJ,20250516,58.229,3.6596
831305.BJ,20250515,58.118,3.6526
831305.BJ,20250514,58.2568,3.6613
831305.BJ,20250513,58.3955,3.67
831305.BJ,20250512,60.1441,3.7799
831305.BJ,20250509,58.3123,3.6648
831305.BJ,20250508,58.5621,3.6805
831305.BJ,20250507,57.0633,3.5863
831305.BJ,20250506,57.5906,3.6194
831305.BJ,20250430,55.398,3.4816
831305.BJ,20250429,52.6781,3.3107
831305.BJ,20250428,50.5687,3.2986
831305.BJ,20250425,53.7605,3.5069
831305.BJ,20250424,53.2609,3.4743
831305.BJ,20250423,55.9254,3.6481
831305.BJ,20250422,62.0902,3.7337
831305.BJ,20250421,64.4608,3.8762
831305.BJ,20250418,64.1265,3.8561
831305.BJ,20250417,59.2942,3.5655
831305.BJ,20250416,58.9903,3.5472
831305.BJ,20250415,62.7892,3.7757
831305.BJ,20250414,60.4491,3.635
831305.BJ,20250411,59.203,3.56
831305.BJ,20250410,57.3187,3.4467
831305.BJ,20250409,55.6168,3.3444
831305.BJ,20250408,47.0767,2.8308
831305.BJ,20250407,44.0679,2.6499
831305.BJ,20250403,59.5373,3.5801
831305.BJ,20250402,60.4187,3.6331
831305.BJ,20250401,58.0785,3.4924
831305.BJ,20250331,56.8629,3.4193
831305.BJ,20250328,60.3275,3.6277
831305.BJ,20250327,63.2147,3.8013
831305.BJ,20250326,62.85,3.7793
831305.BJ,20250325,64.8255,3.8981
831305.BJ,20250324,62.1814,3.7391
831305.BJ,20250321,62.8196,3.7775
831305.BJ,20250320,68.9587,4.1467
831305.BJ,20250319,74.5508,4.4829
831305.BJ,20250318,77.9851,4.6894
831305.BJ,20250317,69.4146,4.1741
831305.BJ,20250314,68.9891,4.1485
831305.BJ,20250313,62.7284,3.772
831305.BJ,20250312,61.5736,3.7026
831305.BJ,20250311,62.7892,3.7757
831305.BJ,20250310,60.4795,3.6368
831305.BJ,20250307,60.1755,3.6185
831305.BJ,20250306,60.1148,3.6149
831305.BJ,20250305,61.999,3.7282
831305.BJ,20250304,56.8325,3.4175
831305.BJ,20250303,54.7962,3.295
831305.BJ,20250228,51.9698,3.1251
831305.BJ,20250227,53.6413,3.2256
831305.BJ,20250226,53.2766,3.2037
831305.BJ,20250225,53.0335,3.189
831305.BJ,20250224,54.5227,3.2786
831305.BJ,20250221,55.7688,3.3535
831305.BJ,20250220,51.9698,3.1251
831305.BJ,20250219,52.2433,3.1415
831305.BJ,20250218,51.058,3.0703
831305.BJ,20250217,52.0914,3.1324
831305.BJ,20250214,51.3316,3.0867
831305.BJ,20250213,51.6051,3.1032
831305.BJ,20250212,53.9149,3.242
831305.BJ,20250211,53.8541,3.2384
831305.BJ,20250210,51.9698,3.1251
831305.BJ,20250207,51.6051,3.1032
831305.BJ,20250206,50.0247,3.0081
831305.BJ,20250205,47.6542,2.8656
831305.BJ,20250127,48.4747,2.9149
831305.BJ,20250124,49.8424,2.9551
831305.BJ,20250123,51.0276,3.0254
831305.BJ,20250122,50.6022,3.0002
831305.BJ,20250121,50.4502,2.9912
831305.BJ,20250120,48.0797,2.8506
831305.BJ,20250117,45.1621,2.6776
831305.BJ,20250116,45.9218,2.7227
831305.BJ,20250115,45.5571,2.701
831305.BJ,20250114,46.8944,2.7803
831305.BJ,20250113,42.7307,2.5335
831305.BJ,20250110,42.4268,2.5155
831305.BJ,20250109,45.2836,2.6848
831305.BJ,20250108,44.0376,2.611
