ts_code,trade_date,pe,pb
832885.BJ,20250702,223.2682,9.57
832885.BJ,20250701,232.6768,9.9733
832885.BJ,20250630,245.0453,10.5035
832885.BJ,20250627,237.1168,10.1636
832885.BJ,20250626,243.0367,10.4174
832885.BJ,20250625,256.0396,10.9747
832885.BJ,20250624,203.8168,8.7363
832885.BJ,20250623,203.394,8.7182
832885.BJ,20250620,180.1369,7.7213
832885.BJ,20250619,187.9597,7.8956
832885.BJ,20250618,196.2054,8.242
832885.BJ,20250617,192.5054,8.0866
832885.BJ,20250616,195.6768,8.2198
832885.BJ,20250613,200.2225,8.4107
832885.BJ,20250612,190.814,8.0155
832885.BJ,20250611,191.2368,8.0333
832885.BJ,20250610,191.9768,8.0643
832885.BJ,20250609,200.6454,8.4285
832885.BJ,20250606,199.4825,8.3796
832885.BJ,20250605,199.3768,8.3752
832885.BJ,20250604,203.9225,8.5662
832885.BJ,20250603,210.3711,8.837
832885.BJ,20250530,198.0025,8.3175
832885.BJ,20250529,196.0429,8.1438
832885.BJ,20250528,184.2612,7.6544
832885.BJ,20250527,189.0376,7.8528
832885.BJ,20250526,190.2051,7.9013
832885.BJ,20250523,182.563,7.5839
832885.BJ,20250522,194.8753,8.0953
832885.BJ,20250521,192.6464,8.0027
832885.BJ,20250520,199.5456,8.2893
832885.BJ,20250519,200.7131,8.3378
832885.BJ,20250516,196.2552,8.1526
832885.BJ,20250515,200.0763,8.3114
832885.BJ,20250514,201.9868,8.3907
832885.BJ,20250513,204.8526,8.5098
832885.BJ,20250512,222.8966,9.2594
832885.BJ,20250509,216.9527,9.0124
832885.BJ,20250508,204.8526,8.5098
832885.BJ,20250507,192.1157,7.9807
832885.BJ,20250506,183.0937,7.6059
832885.BJ,20250430,177.2559,7.3634
832885.BJ,20250429,165.7926,7.0038
832885.BJ,20250428,165.4742,6.9903
832885.BJ,20250425,173.541,7.3311
832885.BJ,20250424,177.2559,7.488
832885.BJ,20250423,186.384,7.8736
832885.BJ,20250422,176.9375,7.4746
832885.BJ,20250421,186.4902,7.8781
