ts_code,trade_date,pe,pb
002334.SZ,20250702,22.3635,2.2065
002334.SZ,20250701,22.5906,2.2289
002334.SZ,20250630,22.5054,2.2205
002334.SZ,20250627,22.3635,2.2065
002334.SZ,20250626,21.9662,2.1673
002334.SZ,20250625,22.1649,2.1869
002334.SZ,20250624,21.9946,2.1701
002334.SZ,20250623,21.5121,2.0878
002334.SZ,20250620,21.0864,2.0465
002334.SZ,20250619,21.3418,2.0713
002334.SZ,20250618,21.7392,2.1099
002334.SZ,20250617,21.8141,2.1187
002334.SZ,20250616,22.0694,2.1435
002334.SZ,20250613,21.7574,2.1132
002334.SZ,20250612,22.3247,2.1683
002334.SZ,20250611,22.3247,2.1683
002334.SZ,20250610,21.8141,2.1187
002334.SZ,20250609,22.1545,2.1517
002334.SZ,20250606,21.8992,2.127
002334.SZ,20250605,22.1545,2.1517
002334.SZ,20250604,21.5304,2.0911
002334.SZ,20250603,21.3035,2.0691
002334.SZ,20250530,21.2184,2.0608
002334.SZ,20250529,21.9559,2.1325
002334.SZ,20250528,21.417,2.0801
002334.SZ,20250527,21.5872,2.0966
002334.SZ,20250526,21.8141,2.1187
002334.SZ,20250523,21.6155,2.0994
002334.SZ,20250522,21.8708,2.1242
002334.SZ,20250521,22.2112,2.1573
002334.SZ,20250520,22.5769,2.1928
002334.SZ,20250519,22.3783,2.1735
002334.SZ,20250516,22.3783,2.1735
002334.SZ,20250515,22.3783,2.1735
002334.SZ,20250514,22.8321,2.2176
002334.SZ,20250513,22.9456,2.2286
002334.SZ,20250512,23.1157,2.2451
002334.SZ,20250509,22.8038,2.2148
002334.SZ,20250508,23.2576,2.2589
002334.SZ,20250507,22.4918,2.1845
002334.SZ,20250506,22.5485,2.19
002334.SZ,20250430,21.8678,2.1239
002334.SZ,20250429,21.2154,2.0605
002334.SZ,20250428,21.0453,2.044
002334.SZ,20250425,21.4423,2.0826
002334.SZ,20250424,21.3856,2.0771
002334.SZ,20250423,21.9245,2.1294
002334.SZ,20250422,21.3573,2.0743
002334.SZ,20250421,21.6409,2.1019
002334.SZ,20250418,20.9318,2.033
002334.SZ,20250417,20.79,2.0192
002334.SZ,20250416,21.1587,2.055
002334.SZ,20250415,22.6903,2.2359
002334.SZ,20250414,22.6619,2.2331
002334.SZ,20250411,21.4423,2.1129
002334.SZ,20250410,21.0169,2.071
002334.SZ,20250409,20.6765,2.0374
002334.SZ,20250408,20.1376,1.9843
002334.SZ,20250407,16.572,2.1183
002334.SZ,20250403,18.4061,2.3527
002334.SZ,20250402,18.8428,2.4086
002334.SZ,20250401,18.6244,2.3807
002334.SZ,20250331,18.6681,2.3862
002334.SZ,20250328,19.0611,2.4365
002334.SZ,20250327,19.1921,2.4532
002334.SZ,20250326,19.5414,2.4979
002334.SZ,20250325,19.2794,2.4644
002334.SZ,20250324,19.4541,2.4867
002334.SZ,20250321,20.3711,2.6039
002334.SZ,20250320,21.834,2.7909
002334.SZ,20250319,21.4847,2.7463
002334.SZ,20250318,21.2882,2.7211
