ts_code,trade_date,pe,pb
871396.BJ,20250702,78.2686,9.2557
871396.BJ,20250701,77.2808,9.1389
871396.BJ,20250630,73.5573,8.6986
871396.BJ,20250627,70.5937,8.3481
871396.BJ,20250626,71.9995,8.5144
871396.BJ,20250625,73.6333,8.7076
871396.BJ,20250624,73.7663,8.7233
871396.BJ,20250623,74.0132,8.7525
871396.BJ,20250620,69.3399,8.1999
871396.BJ,20250619,73.1204,8.6469
871396.BJ,20250618,79.6554,9.4197
871396.BJ,20250617,80.6623,9.5388
871396.BJ,20250616,77.7747,9.1973
871396.BJ,20250613,78.3826,9.2692
871396.BJ,20250612,80.9472,9.5725
871396.BJ,20250611,73.7283,8.7188
871396.BJ,20250610,77.5404,8.7596
871396.BJ,20250609,79.9467,9.0315
871396.BJ,20250606,71.5246,8.08
871396.BJ,20250605,69.2608,7.8243
871396.BJ,20250604,71.9995,8.1337
871396.BJ,20250603,70.1315,7.9227
871396.BJ,20250530,68.2001,7.7045
871396.BJ,20250529,75.514,8.5307
871396.BJ,20250528,76.2264,8.6112
871396.BJ,20250527,78.8385,8.9063
871396.BJ,20250526,84.696,9.568
871396.BJ,20250523,72.6644,8.2088
871396.BJ,20250522,65.9837,7.4541
871396.BJ,20250521,67.0444,7.5739
871396.BJ,20250520,71.5404,8.0818
871396.BJ,20250519,78.5219,8.8705
871396.BJ,20250516,64.3531,7.2699
871396.BJ,20250515,56.96,6.4347
871396.BJ,20250514,55.6461,6.2863
871396.BJ,20250513,51.815,5.8535
871396.BJ,20250512,51.7041,5.8409
871396.BJ,20250509,50.3902,5.6925
871396.BJ,20250508,50.2635,5.6782
871396.BJ,20250507,50.6593,5.7229
871396.BJ,20250506,52.0366,5.8785
871396.BJ,20250430,45.8308,5.1774
871396.BJ,20250429,46.3849,5.24
871396.BJ,20250428,52.2424,5.9018
871396.BJ,20250425,51.2609,5.7909
871396.BJ,20250424,50.216,5.6728
871396.BJ,20250423,52.654,5.9483
871396.BJ,20250422,57.3076,6.2258
871396.BJ,20250421,59.1263,6.4234
871396.BJ,20250418,58.8063,6.3886
871396.BJ,20250417,58.7727,6.3849
871396.BJ,20250416,60.4567,6.5679
871396.BJ,20250415,63.9763,6.9503
871396.BJ,20250414,62.5617,6.7966
871396.BJ,20250411,53.8216,5.8471
871396.BJ,20250410,57.678,6.266
871396.BJ,20250409,57.4254,6.2386
871396.BJ,20250408,55.4214,6.0209
871396.BJ,20250407,52.0452,5.6534
871396.BJ,20250403,59.793,6.495
871396.BJ,20250402,60.0288,6.5207
871396.BJ,20250401,64.0038,6.9524
871396.BJ,20250331,51.3715,5.5802
871396.BJ,20250328,57.2666,6.2206
871396.BJ,20250327,48.4913,5.2674
871396.BJ,20250326,49.7377,5.4028
871396.BJ,20250325,49.5187,5.379
871396.BJ,20250324,38.0991,4.1385
871396.BJ,20250321,36.499,3.9647
871396.BJ,20250320,37.3917,4.0617
871396.BJ,20250319,39.1434,4.252
871396.BJ,20250318,42.832,4.6526
871396.BJ,20250317,42.2594,4.5904
871396.BJ,20250314,42.731,4.6417
871396.BJ,20250313,45.4764,4.9399
871396.BJ,20250312,38.5539,4.1879
871396.BJ,20250311,37.2738,4.0489
871396.BJ,20250310,38.0823,4.1367
871396.BJ,20250307,36.718,3.9885
871396.BJ,20250306,37.5096,4.0745
871396.BJ,20250305,38.9918,4.2355
871396.BJ,20250304,40.4403,4.3928
871396.BJ,20250303,39.4129,4.2812
871396.BJ,20250228,33.2315,3.6098
871396.BJ,20250227,33.5178,3.6409
871396.BJ,20250226,32.5577,3.5366
871396.BJ,20250225,31.9514,3.4707
871396.BJ,20250224,32.204,3.4982
871396.BJ,20250221,32.6083,3.5421
871396.BJ,20250220,32.5072,3.5311
871396.BJ,20250219,32.1872,3.4963
871396.BJ,20250218,30.8903,3.5359
871396.BJ,20250217,32.2209,3.6882
871396.BJ,20250214,31.8335,3.6439
871396.BJ,20250213,32.204,3.6863
871396.BJ,20250212,33.8547,3.8752
871396.BJ,20250211,33.6525,3.8521
871396.BJ,20250210,33.5178,3.8367
871396.BJ,20250207,31.8503,3.6458
871396.BJ,20250206,30.6208,3.5051
871396.BJ,20250205,29.0207,3.3219
871396.BJ,20250127,29.7449,3.4048
871396.BJ,20250124,32.2377,3.6901
871396.BJ,20250123,30.3176,3.4703
871396.BJ,20250122,30.6208,3.5051
871396.BJ,20250121,29.6776,3.3971
871396.BJ,20250120,29.1049,3.3315
871396.BJ,20250117,29.4754,3.3739
871396.BJ,20250116,30.3513,3.4742
871396.BJ,20250115,29.0712,3.3277
871396.BJ,20250114,30.8397,3.5301
871396.BJ,20250113,27.5385,3.1522
871396.BJ,20250110,27.0163,3.0925
871396.BJ,20250109,29.4586,3.372
871396.BJ,20250108,29.6439,3.3932
871396.BJ,20250107,30.3176,3.4703
871396.BJ,20250106,25.7868,2.9517
871396.BJ,20250103,26.0226,2.9787
871396.BJ,20250102,26.3763,3.0192
871396.BJ,20241231,26.7974,3.0674
871396.BJ,20241230,27.2858,3.1233
871396.BJ,20241227,28.5491,3.2679
871396.BJ,20241226,28.6501,3.2795
871396.BJ,20241225,27.5553,3.1542
871396.BJ,20241224,28.6164,3.2756
871396.BJ,20241223,28.3638,3.2467
871396.BJ,20241220,29.6102,3.3894
871396.BJ,20241219,29.307,3.3547
871396.BJ,20241218,28.4312,3.2544
871396.BJ,20241217,28.768,3.293
871396.BJ,20241216,30.3681,3.4761
871396.BJ,20241213,31.3787,3.5918
871396.BJ,20241212,31.244,3.5764
871396.BJ,20241211,30.7218,3.5166
871396.BJ,20241210,31.9514,3.6574
871396.BJ,20241209,32.1198,3.6766
871396.BJ,20241206,34.5115,3.9504
871396.BJ,20241205,37.2233,4.2608
871396.BJ,20241204,36.4653,4.1741
871396.BJ,20241203,39.295,4.498
871396.BJ,20241202,37.5433,4.2974
871396.BJ,20241129,35.9432,4.1143
871396.BJ,20241128,35.2695,4.0372
871396.BJ,20241127,35.0754,4.0255
871396.BJ,20241126,32.7762,3.7617
871396.BJ,20241125,35.5117,4.0756
871396.BJ,20241122,38.5661,4.4262
871396.BJ,20241121,38.0962,4.3722
871396.BJ,20241120,33.7831,3.8772
871396.BJ,20241119,31.5678,3.623
871396.BJ,20241118,32.3062,3.7077
871396.BJ,20241115,30.9636,3.5536
871396.BJ,20241114,30.4434,3.4939
871396.BJ,20241113,32.2391,3.7
871396.BJ,20241112,33.4139,3.8349
871396.BJ,20241111,32.2391,3.7
871396.BJ,20241108,33.1957,3.8098
871396.BJ,20241107,33.6824,3.8657
871396.BJ,20241106,32.0377,3.6769
871396.BJ,20241105,30.9636,3.5536
871396.BJ,20241104,28.698,3.2936
871396.BJ,20241101,27.1205,3.1126
871396.BJ,20241031,31.4671,3.6114
871396.BJ,20241030,34.9243,4.0082
871396.BJ,20241029,31.1818,3.7098
871396.BJ,20241028,29.3022,3.4862
871396.BJ,20241025,29.6546,3.5281
871396.BJ,20241024,30.5105,3.6299
871396.BJ,20241023,31.6517,3.7657
871396.BJ,20241022,33.0615,3.9334
871396.BJ,20241021,25.4422,3.027
871396.BJ,20241018,23.2941,2.7714
871396.BJ,20241017,22.9081,2.7255
871396.BJ,20241016,20.1557,2.398
871396.BJ,20241015,19.6187,2.3341
871396.BJ,20241014,19.6187,2.3341
871396.BJ,20241011,18.6285,2.2163
871396.BJ,20241010,19.8369,2.3601
871396.BJ,20241009,19.9544,2.374
871396.BJ,20241008,24.1332,2.8712
871396.BJ,20240930,20.4914,2.4379
871396.BJ,20240927,17.3195,2.0606
871396.BJ,20240926,16.1951,1.9268
871396.BJ,20240925,15.8426,1.8849
871396.BJ,20240924,15.7755,1.8769
871396.BJ,20240923,15.3392,1.825
871396.BJ,20240920,15.4567,1.8389
871396.BJ,20240919,15.4231,1.8349
871396.BJ,20240918,15.3392,1.825
871396.BJ,20240913,15.4567,1.8389
871396.BJ,20240912,15.3392,1.825
871396.BJ,20240911,15.3727,1.8289
871396.BJ,20240910,15.4063,1.8329
871396.BJ,20240909,15.356,1.827
871396.BJ,20240906,15.4399,1.8369
871396.BJ,20240905,15.5573,1.8509
871396.BJ,20240904,15.5238,1.8469
871396.BJ,20240903,15.8426,1.8849
871396.BJ,20240902,15.7755,1.8769
871396.BJ,20240830,16.1615,1.9228
871396.BJ,20240829,15.8091,1.8809
871396.BJ,20240828,15.8259,1.8829
871396.BJ,20240827,15.6245,1.8589
871396.BJ,20240826,15.8762,1.8888
871396.BJ,20240823,15.7252,1.8709
871396.BJ,20240822,15.5238,1.8469
871396.BJ,20240821,16.5475,1.9687
871396.BJ,20240820,17.7558,2.1707
871396.BJ,20240819,17.2859,2.1133
871396.BJ,20240816,17.1517,2.0969
871396.BJ,20240815,17.3363,2.1194
871396.BJ,20240814,16.4468,2.0107
871396.BJ,20240813,16.1279,1.9717
871396.BJ,20240812,16.0273,1.9594
871396.BJ,20240809,15.9098,1.945
871396.BJ,20240808,15.9769,1.9532
871396.BJ,20240807,16.1615,1.9758
871396.BJ,20240806,16.2454,1.9861
871396.BJ,20240805,16.044,1.9614
871396.BJ,20240802,16.7153,2.0435
871396.BJ,20240801,17.0006,2.0784
871396.BJ,20240731,17.1685,2.0989
871396.BJ,20240730,17.2356,2.1071
871396.BJ,20240729,17.1685,2.0989
871396.BJ,20240726,17.4202,2.1297
871396.BJ,20240725,16.9167,2.0681
871396.BJ,20240724,16.4636,2.0127
871396.BJ,20240723,16.8999,2.0661
871396.BJ,20240722,16.7825,2.0517
871396.BJ,20240719,17.0006,2.0784
871396.BJ,20240718,17.3866,2.1256
871396.BJ,20240717,18.8467,2.3041
871396.BJ,20240716,17.8398,2.181
871396.BJ,20240715,14.8693,1.8178
871396.BJ,20240712,15.0371,1.8383
871396.BJ,20240711,15.0874,1.8445
871396.BJ,20240710,14.8525,1.8158
871396.BJ,20240709,14.9867,1.8322
871396.BJ,20240708,14.8021,1.8096
871396.BJ,20240705,15.3224,1.8732
871396.BJ,20240704,15.272,1.8671
871396.BJ,20240703,15.4567,1.8896
871396.BJ,20240702,15.893,1.943
871396.BJ,20240701,16.0273,1.9594
871396.BJ,20240628,16.0105,1.9573
871396.BJ,20240627,15.9601,1.9512
871396.BJ,20240626,16.2958,1.9922
871396.BJ,20240625,16.0608,1.9635
871396.BJ,20240624,16.0105,1.9573
871396.BJ,20240621,16.5307,2.0209
871396.BJ,20240620,16.1615,1.9758
871396.BJ,20240619,16.5643,2.025
871396.BJ,20240618,16.1279,1.9717
871396.BJ,20240617,16.1615,1.9758
871396.BJ,20240614,16.5643,2.025
871396.BJ,20240613,16.3965,2.0045
871396.BJ,20240612,16.7657,1.9611
871396.BJ,20240611,16.6146,1.9435
871396.BJ,20240607,16.5307,1.9337
871396.BJ,20240606,16.3629,1.914
871396.BJ,20240605,16.7321,1.9572
871396.BJ,20240604,17.2356,2.0161
871396.BJ,20240603,17.0846,1.9984
871396.BJ,20240531,17.4034,2.0357
871396.BJ,20240530,17.5712,2.0554
871396.BJ,20240529,18.5278,2.1673
871396.BJ,20240528,18.8803,2.2085
871396.BJ,20240527,17.5712,2.0554
871396.BJ,20240524,17.6216,2.0613
871396.BJ,20240523,18.0412,2.1103
871396.BJ,20240522,16.8832,1.9749
871396.BJ,20240521,17.2692,2.02
871396.BJ,20240520,17.8733,2.0907
871396.BJ,20240517,17.9405,2.0986
871396.BJ,20240516,17.974,2.1025
871396.BJ,20240515,18.209,2.13
871396.BJ,20240514,18.3768,2.1496
871396.BJ,20240513,18.5446,2.1692
871396.BJ,20240510,18.595,2.1751
871396.BJ,20240509,18.7964,2.1987
871396.BJ,20240508,18.7796,2.1967
871396.BJ,20240507,18.9978,2.2222
871396.BJ,20240506,19.2663,2.2536
871396.BJ,20240430,18.7124,2.1889
871396.BJ,20240429,18.9978,2.2222
871396.BJ,20240426,18.8971,2.2105
871396.BJ,20240425,18.6453,2.2432
871396.BJ,20240424,18.5446,2.2311
871396.BJ,20240423,18.4775,2.223
871396.BJ,20240422,18.595,2.2372
