ts_code,trade_date,pe,pb
688003.SH,20250702,69.0598,4.5072
688003.SH,20250701,70.8919,4.6268
688003.SH,20250630,71.2645,4.6511
688003.SH,20250627,68.9977,4.5032
688003.SH,20250626,69.6963,4.5488
688003.SH,20250625,71.3732,4.6582
688003.SH,20250624,70.1,4.5751
688003.SH,20250623,67.7245,4.4201
688003.SH,20250620,69.1064,4.5103
688003.SH,20250619,72.5842,4.7373
688003.SH,20250618,73.1431,4.7737
688003.SH,20250617,70.7211,4.6157
688003.SH,20250616,71.8079,4.6866
688003.SH,20250613,71.6371,4.6754
688003.SH,20250612,73.8263,4.8183
688003.SH,20250611,73.8573,4.8203
688003.SH,20250610,73.6865,4.8092
688003.SH,20250609,73.4381,4.793
688003.SH,20250606,74.2144,4.8437
688003.SH,20250605,76.3415,4.9825
688003.SH,20250604,74.8044,4.8822
688003.SH,20250603,75.3789,4.9197
688003.SH,20250530,75.767,4.945
688003.SH,20250529,81.8532,5.3422
688003.SH,20250528,79.6951,5.2014
688003.SH,20250527,75.5341,4.9298
688003.SH,20250526,77.6301,5.0666
688003.SH,20250523,72.2116,4.7129
688003.SH,20250522,70.5658,4.6055
688003.SH,20250521,72.165,4.7099
688003.SH,20250520,72.165,4.7099
688003.SH,20250519,71.3732,4.6582
688003.SH,20250516,75.0373,4.8974
688003.SH,20250515,73.8107,4.8173
688003.SH,20250514,78.1115,5.098
688003.SH,20250513,78.9964,5.1558
688003.SH,20250512,81.2011,5.2996
688003.SH,20250509,80.3783,5.2459
688003.SH,20250508,84.5237,5.5165
688003.SH,20250507,86.3713,5.6371
688003.SH,20250506,88.0792,5.7485
688003.SH,20250430,82.4743,5.3827
688003.SH,20250429,76.3725,4.9845
688003.SH,20250428,71.3887,4.6592
688003.SH,20250425,71.4197,4.6613
688003.SH,20250424,71.1092,4.641
688003.SH,20250423,72.2426,4.715
688003.SH,20250422,69.1374,4.5123
688003.SH,20250421,71.7303,4.6333
688003.SH,20250418,68.3145,4.4127
688003.SH,20250417,68.594,4.4307
688003.SH,20250416,68.4232,4.4197
688003.SH,20250415,70.9384,4.5822
688003.SH,20250414,69.9758,4.52
688003.SH,20250411,39.7406,4.4295
688003.SH,20250410,38.3281,4.272
688003.SH,20250409,38.0492,4.2409
688003.SH,20250408,36.9785,4.1216
688003.SH,20250407,36.8885,4.1116
688003.SH,20250403,45.13,5.0302
688003.SH,20250402,46.3716,5.1686
688003.SH,20250401,47.3433,5.2769
688003.SH,20250331,46.4346,5.1756
688003.SH,20250328,46.8034,5.2167
688003.SH,20250327,48.342,5.3882
688003.SH,20250326,50.1144,5.5857
688003.SH,20250325,48.0541,5.3561
688003.SH,20250324,47.6852,5.315
688003.SH,20250321,48.225,5.3751
688003.SH,20250320,51.9049,5.7853
688003.SH,20250319,50.8882,5.672
688003.SH,20250318,53.4254,5.9548
688003.SH,20250317,54.5051,6.0751
688003.SH,20250314,52.6786,5.8715
688003.SH,20250313,50.3753,5.6148
688003.SH,20250312,55.4228,6.1774
688003.SH,20250311,56.4934,6.2967
688003.SH,20250310,58.3918,6.5083
688003.SH,20250307,56.1605,6.2596
688003.SH,20250306,57.0333,6.3569
688003.SH,20250305,49.3317,5.4985
688003.SH,20250304,48.162,5.3681
688003.SH,20250303,47.8561,5.334
688003.SH,20250228,47.8651,5.335
688003.SH,20250227,53.5783,6.4109
688003.SH,20250226,54.0822,6.4712
688003.SH,20250225,50.8252,6.0815
688003.SH,20250224,49.4846,5.9211
688003.SH,20250221,52.1928,6.2452
688003.SH,20250220,45.9577,5.4991
688003.SH,20250219,46.5965,5.5755
688003.SH,20250218,41.6391,4.9823
688003.SH,20250217,40.0286,4.7896
688003.SH,20250214,39.6327,4.7423
688003.SH,20250213,39.4527,4.7207
688003.SH,20250212,43.0156,5.1471
688003.SH,20250211,44.0413,5.2698
688003.SH,20250210,43.3845,5.1912
688003.SH,20250207,41.846,5.0071
688003.SH,20250206,42.5388,5.09
688003.SH,20250205,39.1738,4.6874
688003.SH,20250127,36.2587,4.3386
688003.SH,20250124,39.0119,4.668
688003.SH,20250123,38.9219,4.6572
688003.SH,20250122,38.0942,4.5582
688003.SH,20250121,38.1931,4.57
688003.SH,20250120,36.0698,4.3159
688003.SH,20250117,36.6726,4.3881
688003.SH,20250116,36.4387,4.3601
688003.SH,20250115,36.8615,4.4107
688003.SH,20250114,37.7703,4.5194
688003.SH,20250113,35.7459,4.2772
688003.SH,20250110,35.9168,4.2976
688003.SH,20250109,35.8449,4.289
688003.SH,20250108,36.2137,4.3332
688003.SH,20250107,37.6983,4.5108
688003.SH,20250106,35.341,4.2287
688003.SH,20250103,36.1238,4.3224
688003.SH,20250102,37.5003,4.4871
688003.SH,20241231,38.9579,4.6615
688003.SH,20241230,40.5504,4.8521
688003.SH,20241227,40.4244,4.837
688003.SH,20241226,41.5581,4.9727
688003.SH,20241225,41.3152,4.9436
688003.SH,20241224,42.8627,5.1288
