ts_code,trade_date,pe,pb
603025.SH,20250702,26.1268,6.8679
603025.SH,20250701,26.4517,6.9533
603025.SH,20250630,26.6162,7.1747
603025.SH,20250627,25.686,6.924
603025.SH,20250626,25.4772,6.8677
603025.SH,20250625,25.4392,6.8574
603025.SH,20250624,25.2493,6.8063
603025.SH,20250623,24.2432,6.535
603025.SH,20250620,23.9394,6.4532
603025.SH,20250619,23.8445,6.4276
603025.SH,20250618,24.1293,6.5043
603025.SH,20250617,24.1862,6.5197
603025.SH,20250616,24.3001,6.5504
603025.SH,20250613,24.452,6.5913
603025.SH,20250612,24.6798,6.6527
603025.SH,20250611,24.3571,6.5658
603025.SH,20250610,24.1862,6.5197
603025.SH,20250609,24.5089,6.6067
603025.SH,20250606,24.49,6.6016
603025.SH,20250605,24.6988,6.6579
603025.SH,20250604,24.3571,6.5658
603025.SH,20250603,24.1293,6.5043
603025.SH,20250530,24.3571,6.5658
603025.SH,20250529,24.7178,6.663
603025.SH,20250528,24.3001,6.5504
603025.SH,20250527,24.395,6.576
603025.SH,20250526,24.433,6.5862
603025.SH,20250523,24.3001,6.5504
603025.SH,20250522,25.1924,5.7594
603025.SH,20250521,25.3632,5.7984
603025.SH,20250520,25.4961,5.8288
603025.SH,20250519,25.3632,5.7984
603025.SH,20250516,25.2683,5.7767
603025.SH,20250515,25.2114,5.7637
603025.SH,20250514,25.686,5.8722
603025.SH,20250513,25.7239,5.8809
603025.SH,20250512,25.7999,5.8982
603025.SH,20250509,25.3063,5.7854
603025.SH,20250508,25.5341,5.8375
603025.SH,20250507,25.3253,5.7897
603025.SH,20250506,25.5341,5.8375
603025.SH,20250430,25.1734,5.755
603025.SH,20250429,24.9456,5.7029
603025.SH,20250428,24.6798,5.6422
603025.SH,20250425,24.8127,5.6725
603025.SH,20250424,24.7747,5.6639
603025.SH,20250423,25.0975,5.7376
603025.SH,20250422,24.6798,5.6422
603025.SH,20250421,24.3381,5.9589
603025.SH,20250418,23.9204,5.8566
603025.SH,20250417,23.9774,5.8705
603025.SH,20250416,23.9964,5.8752
603025.SH,20250415,24.3001,5.9496
603025.SH,20250414,24.2811,5.9449
603025.SH,20250411,24.2052,5.9263
603025.SH,20250410,23.7116,5.8055
603025.SH,20250409,23.3889,5.7265
603025.SH,20250408,22.8763,5.601
603025.SH,20250407,23.5218,5.759
603025.SH,20250403,26.1416,6.4004
603025.SH,20250402,26.5023,6.4887
603025.SH,20250401,26.2935,6.4376
603025.SH,20250331,26.4454,6.4748
603025.SH,20250328,26.5782,6.5073
603025.SH,20250327,26.7871,6.5585
603025.SH,20250326,26.6922,6.5352
603025.SH,20250325,26.5023,6.4887
603025.SH,20250324,26.7681,6.5538
603025.SH,20250321,27.3376,6.6933
603025.SH,20250320,41.0303,7.1645
603025.SH,20250319,40.7294,7.112
603025.SH,20250318,41.167,7.1884
603025.SH,20250317,39.5258,6.9018
603025.SH,20250314,39.3891,6.8779
603025.SH,20250313,39.1702,6.8397
603025.SH,20250312,40.1276,7.0069
603025.SH,20250311,40.1003,7.0021
603025.SH,20250310,40.1003,7.0021
603025.SH,20250307,40.1003,7.0021
603025.SH,20250306,40.62,7.0928
603025.SH,20250305,39.6079,6.9161
603025.SH,20250304,39.7173,6.9352
603025.SH,20250303,39.1429,6.8349
603025.SH,20250228,39.0061,6.811
603025.SH,20250227,40.9482,7.1502
603025.SH,20250226,41.3038,7.2123
603025.SH,20250225,40.3738,7.0499
603025.SH,20250224,40.9756,7.1549
603025.SH,20250221,41.6594,7.2743
603025.SH,20250220,40.7567,7.1167
603025.SH,20250219,40.4559,7.0642
603025.SH,20250218,39.6626,6.9257
603025.SH,20250217,39.8814,6.9639
603025.SH,20250214,40.4285,7.0594
603025.SH,20250213,40.3191,7.0403
603025.SH,20250212,42.0424,7.3412
603025.SH,20250211,41.6868,7.2791
603025.SH,20250210,42.398,7.4033
603025.SH,20250207,42.5347,7.4272
603025.SH,20250206,42.398,7.4033
603025.SH,20250205,41.8235,7.303
603025.SH,20250127,41.5773,7.26
603025.SH,20250124,42.4527,7.4129
603025.SH,20250123,43.328,7.5657
603025.SH,20250122,42.8903,7.4893
603025.SH,20250121,42.2612,7.3794
603025.SH,20250120,42.1518,7.3603
603025.SH,20250117,41.8235,7.303
603025.SH,20250116,41.1944,7.1932
603025.SH,20250115,41.3585,7.2218
603025.SH,20250114,41.6321,7.2696
603025.SH,20250113,39.6626,6.9257
603025.SH,20250110,39.4164,6.8827
603025.SH,20250109,39.8814,6.9639
603025.SH,20250108,39.3617,6.8731
