ts_code,trade_date,pe,pb
688255.SH,20250702,119.5638,3.6405
688255.SH,20250701,118.4033,3.6052
688255.SH,20250630,118.4737,3.6073
688255.SH,20250627,117.2077,3.5688
688255.SH,20250626,116.6802,3.5527
688255.SH,20250625,118.2275,3.5998
688255.SH,20250624,117.1022,3.5656
688255.SH,20250623,110.5262,3.3653
688255.SH,20250620,109.647,3.3386
688255.SH,20250619,113.5153,3.4564
688255.SH,20250618,114.3241,3.481
688255.SH,20250617,115.9066,3.5292
688255.SH,20250616,118.8253,3.618
688255.SH,20250613,119.6693,3.6437
688255.SH,20250612,117.6648,3.5827
688255.SH,20250611,115.7307,3.4191
688255.SH,20250610,114.2538,3.3755
688255.SH,20250609,116.7505,3.4493
688255.SH,20250606,116.0472,3.4285
688255.SH,20250605,116.645,3.4461
688255.SH,20250604,114.2889,3.3765
688255.SH,20250603,113.6559,3.3578
688255.SH,20250530,112.8823,3.335
688255.SH,20250529,117.5593,3.4732
688255.SH,20250528,116.0121,3.4274
688255.SH,20250527,117.4187,3.469
688255.SH,20250526,120.9353,3.5729
688255.SH,20250523,119.7396,3.5376
688255.SH,20250522,120.8298,3.5698
688255.SH,20250521,121.0408,3.576
688255.SH,20250520,123.8892,3.6602
688255.SH,20250519,123.7837,3.657
688255.SH,20250516,126.7025,3.7433
688255.SH,20250515,126.5618,3.7391
688255.SH,20250514,128.3553,3.7921
688255.SH,20250513,132.3642,3.9105
688255.SH,20250512,130.8169,3.8648
688255.SH,20250509,127.2299,3.7589
688255.SH,20250508,134.7554,3.9812
688255.SH,20250507,134.8609,3.9843
688255.SH,20250506,135.0719,3.9905
688255.SH,20250430,127.019,3.7526
688255.SH,20250429,117.911,3.4835
688255.SH,20250428,111.7218,3.3007
688255.SH,20250425,114.1483,3.3724
688255.SH,20250424,142.5441,3.3902
688255.SH,20250423,148.2865,3.5267
688255.SH,20250422,132.5611,3.1527
688255.SH,20250421,135.1231,3.2137
688255.SH,20250418,130.7943,3.1107
688255.SH,20250417,130.9268,3.1139
688255.SH,20250416,132.1636,3.1433
688255.SH,20250415,135.7857,3.2294
688255.SH,20250414,137.5526,3.2714
688255.SH,20250411,137.1551,3.262
688255.SH,20250410,134.1513,3.1906
688255.SH,20250409,130.22,3.0971
688255.SH,20250408,125.096,2.9752
688255.SH,20250407,124.8752,2.9699
688255.SH,20250403,156.105,3.7127
688255.SH,20250402,161.6265,3.844
688255.SH,20250401,156.0608,3.7116
688255.SH,20250331,161.0965,3.8314
688255.SH,20250328,162.5542,3.8661
688255.SH,20250327,172.7138,4.1077
688255.SH,20250326,174.8782,4.1592
688255.SH,20250325,174.3923,4.1476
688255.SH,20250324,170.2843,4.0499
688255.SH,20250321,173.7739,4.1329
688255.SH,20250320,186.4072,4.4334
688255.SH,20250319,188.395,4.4806
688255.SH,20250318,192.3263,4.5741
688255.SH,20250317,190.2944,4.5258
688255.SH,20250314,184.5961,4.3903
688255.SH,20250313,177.3519,4.218
688255.SH,20250312,199.8798,4.7538
688255.SH,20250311,187.9532,4.4701
688255.SH,20250310,185.082,4.4018
688255.SH,20250307,189.7201,4.5122
688255.SH,20250306,186.8931,4.4449
688255.SH,20250305,185.1262,4.4029
688255.SH,20250304,175.85,4.1823
688255.SH,20250303,171.6537,4.0825
688255.SH,20250228,171.742,4.0846
688255.SH,20250227,198.1129,4.7118
688255.SH,20250226,203.1927,4.8746
688255.SH,20250225,198.2454,4.7559
688255.SH,20250224,203.016,4.8703
688255.SH,20250221,199.7473,4.7919
688255.SH,20250220,199.173,4.7781
688255.SH,20250219,204.9596,4.917
688255.SH,20250218,184.7287,4.4316
688255.SH,20250217,198.3337,4.758
688255.SH,20250214,190.6478,4.5736
688255.SH,20250213,195.4184,4.6881
688255.SH,20250212,209.2885,5.0208
688255.SH,20250211,215.6493,5.1734
688255.SH,20250210,179.693,4.3108
688255.SH,20250207,173.7298,4.1678
688255.SH,20250206,179.5605,4.3076
688255.SH,20250205,176.5568,4.2356
688255.SH,20250127,176.9543,4.2451
688255.SH,20250124,185.5238,4.4507
688255.SH,20250123,184.2428,4.42
688255.SH,20250122,186.4072,4.4719
688255.SH,20250121,185.5238,4.4507
688255.SH,20250120,161.6707,3.8785
688255.SH,20250117,154.1614,3.6983
688255.SH,20250116,139.5404,3.3476
688255.SH,20250115,146.8288,3.5224
688255.SH,20250114,146.6963,3.5192
688255.SH,20250113,125.7586,3.0169
688255.SH,20250110,123.4616,2.9618
688255.SH,20250109,123.9917,2.9745
688255.SH,20250108,115.2456,2.7647
688255.SH,20250107,108.7964,2.61
688255.SH,20250106,105.1301,2.5221
688255.SH,20250103,108.0013,2.5909
688255.SH,20250102,115.7757,2.7774
688255.SH,20241231,117.9843,2.8304
688255.SH,20241230,123.6383,2.9661
688255.SH,20241227,126.0236,3.0233
688255.SH,20241226,127.2163,3.0519
688255.SH,20241225,124.6101,2.9894
688255.SH,20241224,129.6016,3.1091
688255.SH,20241223,126.5095,3.0349
688255.SH,20241220,134.0188,3.2151
688255.SH,20241219,131.4568,3.1536
688255.SH,20241218,127.4372,3.0572
688255.SH,20241217,126.7746,3.0413
688255.SH,20241216,136.4925,3.2744
688255.SH,20241213,136.0508,3.2638
688255.SH,20241212,142.3674,3.4154
688255.SH,20241211,156.8559,3.763
688255.SH,20241210,160.7873,3.8573
688255.SH,20241209,158.9762,3.8138
688255.SH,20241206,139.8054,3.3539
688255.SH,20241205,132.3403,3.1748
688255.SH,20241204,125.9353,3.0212
688255.SH,20241203,121.2972,2.9099
688255.SH,20241202,120.7671,2.8972
688255.SH,20241129,121.6064,2.9173
688255.SH,20241128,113.2578,2.717
688255.SH,20241127,112.286,2.6937
688255.SH,20241126,111.0051,2.663
688255.SH,20241125,117.9401,2.8294
688255.SH,20241122,110.2541,2.645
688255.SH,20241121,110.475,2.6503
688255.SH,20241120,111.4468,2.6736
688255.SH,20241119,103.5841,2.485
688255.SH,20241118,97.7092,2.344
688255.SH,20241115,101.6405,2.4383
688255.SH,20241114,103.2749,2.4776
688255.SH,20241113,106.897,2.5644
688255.SH,20241112,105.7485,2.5369
688255.SH,20241111,108.7964,2.61
688255.SH,20241108,104.2025,2.4998
688255.SH,20241107,104.9093,2.5168
688255.SH,20241106,105.351,2.5274
