ts_code,trade_date,pe,pb
300276.SZ,20250702,507.8636,7.6045
300276.SZ,20250701,521.7711,7.8127
300276.SZ,20250630,527.5259,7.8989
300276.SZ,20250627,520.3324,7.7912
300276.SZ,20250626,516.4958,7.7338
300276.SZ,20250625,524.1689,7.8487
300276.SZ,20250624,518.8937,7.7697
300276.SZ,20250623,502.5883,7.5255
300276.SZ,20250620,504.027,7.5471
300276.SZ,20250619,524.1689,7.8487
300276.SZ,20250618,526.5668,7.8846
300276.SZ,20250617,527.0464,7.8917
300276.SZ,20250616,530.8829,7.9492
300276.SZ,20250613,529.4442,7.9276
300276.SZ,20250612,546.2291,8.179
300276.SZ,20250611,550.0657,8.2364
300276.SZ,20250610,552.4635,8.2723
300276.SZ,20250609,545.27,8.1646
300276.SZ,20250606,542.3926,8.1215
300276.SZ,20250605,551.0248,8.2508
300276.SZ,20250604,540.9539,8.1
300276.SZ,20250603,536.1582,8.0282
300276.SZ,20250530,537.5969,8.0497
300276.SZ,20250529,556.7796,8.3369
300276.SZ,20250528,537.1173,8.0425
300276.SZ,20250527,543.8313,8.1431
300276.SZ,20250526,559.1775,8.3729
300276.SZ,20250523,553.4227,8.2867
300276.SZ,20250522,565.4119,8.4662
300276.SZ,20250521,577.4011,8.6457
300276.SZ,20250520,590.3495,8.8396
300276.SZ,20250519,586.0333,8.775
300276.SZ,20250516,590.829,8.8468
300276.SZ,20250515,591.7882,8.8611
300276.SZ,20250514,609.0527,9.1197
300276.SZ,20250513,615.7666,9.2202
300276.SZ,20250512,635.429,9.5146
300276.SZ,20250509,585.5538,8.7678
300276.SZ,20250508,602.8183,9.0263
300276.SZ,20250507,594.6656,8.9042
300276.SZ,20250506,598.5021,8.9617
300276.SZ,20250430,576.9215,8.6385
300276.SZ,20250429,557.7388,8.3513
300276.SZ,20250428,550.0657,8.261
300276.SZ,20250425,567.3302,8.5203
300276.SZ,20250424,574.0441,8.6211
300276.SZ,20250423,587.9516,8.83
300276.SZ,20250422,797.4829,8.3873
300276.SZ,20250421,822.9858,8.6555
300276.SZ,20250418,801.6185,8.4308
300276.SZ,20250417,814.0253,8.5613
300276.SZ,20250416,832.6355,8.757
300276.SZ,20250415,827.1214,8.699
300276.SZ,20250414,826.4321,8.6918
300276.SZ,20250411,814.7146,8.5685
300276.SZ,20250410,816.7824,8.5903
300276.SZ,20250409,789.2117,8.3003
300276.SZ,20250408,751.3019,7.9016
300276.SZ,20250407,710.6351,7.4739
300276.SZ,20250403,888.4662,9.3442
300276.SZ,20250402,904.3194,9.5109
300276.SZ,20250401,889.8448,9.3587
300276.SZ,20250331,911.9013,9.5907
300276.SZ,20250328,907.0765,9.5399
300276.SZ,20250327,898.116,9.4457
300276.SZ,20250326,956.7038,10.0619
300276.SZ,20250325,864.3419,9.0905
300276.SZ,20250324,906.3872,9.5327
300276.SZ,20250321,921.5511,9.6922
300276.SZ,20250320,960.8394,10.1054
300276.SZ,20250319,968.4213,10.1851
300276.SZ,20250318,999.4384,10.5113
300276.SZ,20250317,981.5174,10.3228
300276.SZ,20250314,948.4325,9.9749
300276.SZ,20250313,924.3082,9.7212
300276.SZ,20250312,985.653,10.3663
300276.SZ,20250311,1012.5344,10.6491
300276.SZ,20250310,977.3818,10.2793
300276.SZ,20250307,956.7038,10.0619
300276.SZ,20250306,971.1784,10.2141
300276.SZ,20250305,961.5286,10.1126
300276.SZ,20250304,956.0145,10.0546
300276.SZ,20250303,908.455,9.5544
300276.SZ,20250228,907.0765,9.5399
300276.SZ,20250227,1040.1052,10.939
300276.SZ,20250226,1016.6701,10.6925
