ts_code,trade_date,pe,pb
603666.SH,20250702,,3.1857
603666.SH,20250701,,3.2276
603666.SH,20250630,,3.2629
603666.SH,20250627,,3.24
603666.SH,20250626,,3.2695
603666.SH,20250625,,3.3286
603666.SH,20250624,,3.2762
603666.SH,20250623,,3.1666
603666.SH,20250620,,3.1895
603666.SH,20250619,,3.321
603666.SH,20250618,,3.3572
603666.SH,20250617,,3.2943
603666.SH,20250616,,3.4115
603666.SH,20250613,,3.4725
603666.SH,20250612,,3.5945
603666.SH,20250611,,3.5097
603666.SH,20250610,,3.4592
603666.SH,20250609,,3.5449
603666.SH,20250606,,3.4372
603666.SH,20250605,,3.4801
603666.SH,20250604,,3.3686
603666.SH,20250603,,3.1885
603666.SH,20250530,,3.2133
603666.SH,20250529,,3.2133
603666.SH,20250528,,3.1923
603666.SH,20250527,,3.1552
603666.SH,20250526,,3.1866
603666.SH,20250523,,3.178
603666.SH,20250522,,3.2228
603666.SH,20250521,,3.2381
603666.SH,20250520,,3.3763
603666.SH,20250519,,3.4477
603666.SH,20250516,,3.5888
603666.SH,20250515,,3.5201
603666.SH,20250514,,3.4639
603666.SH,20250513,,3.502
603666.SH,20250512,,3.6011
603666.SH,20250509,,3.4515
603666.SH,20250508,,3.4792
603666.SH,20250507,,3.4449
603666.SH,20250506,,3.5344
603666.SH,20250430,,3.5154
603666.SH,20250429,,3.2933
603666.SH,20250428,,3.1923
603666.SH,20250425,,3.0409
603666.SH,20250424,,2.8629
603666.SH,20250423,,2.9222
603666.SH,20250422,,2.7712
603666.SH,20250421,,2.9024
603666.SH,20250418,,2.8665
603666.SH,20250417,,2.9015
603666.SH,20250416,,2.924
603666.SH,20250415,,3.0921
603666.SH,20250414,,3.1389
603666.SH,20250411,,3.1056
603666.SH,20250410,,3.1712
603666.SH,20250409,,2.8827
603666.SH,20250408,,2.6202
603666.SH,20250407,,2.8323
603666.SH,20250403,,3.1469
603666.SH,20250402,,3.1254
603666.SH,20250401,,2.9959
603666.SH,20250331,,2.8926
603666.SH,20250328,,2.9708
603666.SH,20250327,,2.8944
603666.SH,20250326,,2.933
603666.SH,20250325,,2.8872
603666.SH,20250324,,2.9348
603666.SH,20250321,,3.0004
603666.SH,20250320,,3.2045
603666.SH,20250319,,3.2153
603666.SH,20250318,,3.2224
603666.SH,20250317,,3.2845
603666.SH,20250314,,3.2224
603666.SH,20250313,,3.1631
603666.SH,20250312,,3.3447
603666.SH,20250311,,3.4472
603666.SH,20250310,,3.5658
603666.SH,20250307,,3.5218
603666.SH,20250306,,3.5793
603666.SH,20250305,,3.4822
603666.SH,20250304,,3.1658
603666.SH,20250303,,3.0283
603666.SH,20250228,,2.9932
603666.SH,20250227,,3.3258
603666.SH,20250226,,3.5083
603666.SH,20250225,,3.4571
603666.SH,20250224,,3.4184
603666.SH,20250221,,3.5586
603666.SH,20250220,,3.235
603666.SH,20250219,,3.2494
603666.SH,20250218,,3.0508
603666.SH,20250217,,3.2233
603666.SH,20250214,,3.2054
603666.SH,20250213,,3.218
