ts_code,trade_date,pe,pb
688395.SH,20250702,51.8455,2.5901
688395.SH,20250701,52.6008,2.6279
688395.SH,20250630,51.9141,2.5936
688395.SH,20250627,51.1588,2.5558
688395.SH,20250626,50.9985,2.5478
688395.SH,20250625,51.525,2.5741
688395.SH,20250624,50.9299,2.5444
688395.SH,20250623,48.8011,2.4381
688395.SH,20250620,48.7782,2.4369
688395.SH,20250619,49.1673,2.4563
688395.SH,20250618,50.4721,2.5215
688395.SH,20250617,50.6323,2.5295
688395.SH,20250616,51.2503,2.5604
688395.SH,20250613,50.7238,2.5341
688395.SH,20250612,52.143,2.605
688395.SH,20250611,51.7539,2.5856
688395.SH,20250610,51.2961,2.5627
688395.SH,20250609,52.7382,2.6347
688395.SH,20250606,52.4406,2.6199
688395.SH,20250605,52.0972,2.5588
688395.SH,20250604,53.0128,2.6038
688395.SH,20250603,54.1802,2.6611
688395.SH,20250530,54.1802,2.6611
688395.SH,20250529,55.9198,2.7466
688395.SH,20250528,54.226,2.6634
688395.SH,20250527,55.3247,2.7174
688395.SH,20250526,56.5836,2.7792
688395.SH,20250523,57.3619,2.8174
688395.SH,20250522,58.2775,2.8624
688395.SH,20250521,60.4291,2.9681
688395.SH,20250520,63.1301,3.1007
688395.SH,20250519,56.6065,2.7803
688395.SH,20250516,53.8369,2.6443
688395.SH,20250515,48.412,2.3778
688395.SH,20250514,49.0529,2.4093
688395.SH,20250513,49.648,2.4385
688395.SH,20250512,50.1287,2.4621
688395.SH,20250509,49.2818,2.4205
688395.SH,20250508,51.0443,2.5071
688395.SH,20250507,51.9828,2.5532
688395.SH,20250506,49.8769,2.4498
688395.SH,20250430,45.5736,2.2384
688395.SH,20250429,44.0629,2.1642
688395.SH,20250428,42.8269,2.1313
688395.SH,20250425,32.1498,2.1625
688395.SH,20250424,31.9296,2.1477
688395.SH,20250423,32.5902,2.1921
688395.SH,20250422,31.4383,2.1146
688395.SH,20250421,31.4383,2.1146
688395.SH,20250418,30.7438,2.0679
688395.SH,20250417,30.7947,2.0713
688395.SH,20250416,30.693,2.0645
688395.SH,20250415,31.5738,2.1237
688395.SH,20250414,31.0657,2.0896
688395.SH,20250411,30.693,2.0645
688395.SH,20250410,30.4728,2.0497
688395.SH,20250409,28.9822,1.9494
688395.SH,20250408,28.6773,1.9289
688395.SH,20250407,28.9653,1.9483
688395.SH,20250403,36.2151,2.4359
688395.SH,20250402,37.3838,2.5145
688395.SH,20250401,37.062,2.4929
688395.SH,20250331,37.8412,2.5453
688395.SH,20250328,38.0953,2.5624
688395.SH,20250327,38.6712,2.6011
688395.SH,20250326,41.0596,2.7618
688395.SH,20250325,41.2628,2.7755
688395.SH,20250324,41.6693,2.8028
688395.SH,20250321,43.8375,2.9486
688395.SH,20250320,47.9536,3.2255
688395.SH,20250319,47.2591,3.1788
688395.SH,20250318,44.2949,2.9794
688395.SH,20250317,46.0226,3.0956
688395.SH,20250314,42.0081,2.8256
688395.SH,20250313,43.3971,2.919
688395.SH,20250312,48.4957,3.262
688395.SH,20250311,46.1581,3.1047
688395.SH,20250310,42.8889,2.8848
688395.SH,20250307,35.7408,2.404
688395.SH,20250306,34.3857,2.3129
688395.SH,20250305,33.5049,2.2536
688395.SH,20250304,33.6743,2.265
688395.SH,20250303,32.8443,2.2092
688395.SH,20250228,32.9628,2.2172
688395.SH,20250227,34.2163,2.3015
688395.SH,20250226,35.0124,2.3598
688395.SH,20250225,33.6404,2.2674
688395.SH,20250224,33.0306,2.2263
688395.SH,20250221,32.8443,2.2137
688395.SH,20250220,32.8104,2.2114
688395.SH,20250219,31.8618,2.1475
688395.SH,20250218,30.8794,2.0813
688395.SH,20250217,31.3706,2.1144
688395.SH,20250214,31.0318,2.0915
688395.SH,20250213,31.0657,2.0938
688395.SH,20250212,31.6755,2.1349
688395.SH,20250211,31.3367,2.1121
688395.SH,20250210,31.5908,2.1292
688395.SH,20250207,31.252,2.1064
688395.SH,20250206,30.7269,2.071
688395.SH,20250205,30.0663,2.0265
688395.SH,20250127,29.609,1.9956
688395.SH,20250124,29.9647,2.0196
688395.SH,20250123,29.609,1.9956
688395.SH,20250122,29.2871,1.974
688395.SH,20250121,29.3041,1.9751
688395.SH,20250120,29.4057,1.9819
688395.SH,20250117,29.1685,1.966
688395.SH,20250116,29.2194,1.9694
688395.SH,20250115,29.2532,1.9717
688395.SH,20250114,29.7106,2.0025
688395.SH,20250113,28.1353,1.8963
688395.SH,20250110,27.8473,1.8769
688395.SH,20250109,28.5757,1.926
688395.SH,20250108,28.3216,1.9089
688395.SH,20250107,28.3555,1.9112
688395.SH,20250106,27.373,1.8449
688395.SH,20250103,27.5255,1.8552
688395.SH,20250102,28.4402,1.9169
688395.SH,20241231,28.779,1.9397
688395.SH,20241230,29.5073,1.9888
688395.SH,20241227,30.0324,2.0242
