ts_code,trade_date,pe,pb
300024.SZ,20250702,,5.9895
300024.SZ,20250701,,6.061
300024.SZ,20250630,,6.1432
300024.SZ,20250627,,6.0288
300024.SZ,20250626,,6.0074
300024.SZ,20250625,,6.0753
300024.SZ,20250624,,5.9895
300024.SZ,20250623,,5.7499
300024.SZ,20250620,,5.6462
300024.SZ,20250619,,5.7785
300024.SZ,20250618,,5.9323
300024.SZ,20250617,,5.9287
300024.SZ,20250616,,5.8965
300024.SZ,20250613,,5.8858
300024.SZ,20250612,,5.9788
300024.SZ,20250611,,5.9108
300024.SZ,20250610,,5.8929
300024.SZ,20250609,,5.9859
300024.SZ,20250606,,5.8965
300024.SZ,20250605,,5.943
300024.SZ,20250604,,5.8643
300024.SZ,20250603,,5.8465
300024.SZ,20250530,,5.7785
300024.SZ,20250529,,5.8786
300024.SZ,20250528,,5.7642
300024.SZ,20250527,,5.8214
300024.SZ,20250526,,5.9215
300024.SZ,20250523,,5.8178
300024.SZ,20250522,,5.918
300024.SZ,20250521,,5.9966
300024.SZ,20250520,,6.0574
300024.SZ,20250519,,6.0539
300024.SZ,20250516,,6.0646
300024.SZ,20250515,,6.0503
300024.SZ,20250514,,6.2076
300024.SZ,20250513,,6.204
300024.SZ,20250512,,6.297
300024.SZ,20250509,,6.0717
300024.SZ,20250508,,6.1647
300024.SZ,20250507,,6.1325
300024.SZ,20250506,,6.1468
300024.SZ,20250430,,5.9573
300024.SZ,20250429,,5.7821
300024.SZ,20250428,,5.7428
300024.SZ,20250425,,5.8214
300024.SZ,20250424,,5.7928
300024.SZ,20250423,,5.8694
300024.SZ,20250422,,5.7457
300024.SZ,20250421,,5.8093
300024.SZ,20250418,520.8891,5.8177
300024.SZ,20250417,517.6658,5.7817
300024.SZ,20250416,521.2114,5.8213
300024.SZ,20250415,529.5921,5.9149
300024.SZ,20250414,531.8484,5.9401
300024.SZ,20250411,525.7241,5.8717
300024.SZ,20250410,521.5338,5.8249
300024.SZ,20250409,508.6405,5.6809
300024.SZ,20250408,479.6305,5.3569
300024.SZ,20250407,458.0343,5.1157
300024.SZ,20250403,572.1399,6.3901
300024.SZ,20250402,578.2642,6.4585
300024.SZ,20250401,570.8506,6.3757
