ts_code,trade_date,pe,pb
688025.SH,20250702,51.0331,3.3348
688025.SH,20250701,51.2767,3.3507
688025.SH,20250630,51.2194,3.347
688025.SH,20250627,50.589,3.3058
688025.SH,20250626,49.5933,3.2407
688025.SH,20250625,49.2924,3.2211
688025.SH,20250624,48.3468,3.0985
688025.SH,20250623,47.7522,3.0604
688025.SH,20250620,46.821,3.0007
688025.SH,20250619,47.8239,3.065
688025.SH,20250618,48.3468,3.0985
688025.SH,20250617,46.7637,2.9971
688025.SH,20250616,48.3325,3.0976
688025.SH,20250613,46.076,2.953
688025.SH,20250612,45.4957,2.9158
688025.SH,20250611,41.9068,2.6858
688025.SH,20250610,41.1904,2.6399
688025.SH,20250609,39.9296,2.5591
688025.SH,20250606,38.017,2.4365
688025.SH,20250605,33.8908,2.172
688025.SH,20250604,33.0956,2.1211
688025.SH,20250603,34.6143,2.2184
688025.SH,20250530,34.2203,2.1932
688025.SH,20250529,35.6315,2.2836
688025.SH,20250528,35.1587,2.2533
688025.SH,20250527,35.4811,2.274
688025.SH,20250526,36.0756,2.3121
688025.SH,20250523,35.1014,2.2496
688025.SH,20250522,35.6028,2.2818
688025.SH,20250521,35.9252,2.3024
688025.SH,20250520,36.4123,2.3337
688025.SH,20250519,36.4052,2.3332
688025.SH,20250516,36.2046,2.3203
688025.SH,20250515,35.7461,2.291
688025.SH,20250514,36.3192,2.3277
688025.SH,20250513,36.6631,2.3497
688025.SH,20250512,37.3651,2.3947
688025.SH,20250509,36.0828,2.3125
688025.SH,20250508,36.6631,2.3497
688025.SH,20250507,35.8178,2.2955
688025.SH,20250506,36.2117,2.3208
688025.SH,20250430,34.9008,2.2368
688025.SH,20250429,33.1028,2.1586
688025.SH,20250428,32.3649,2.1105
688025.SH,20250425,32.7231,2.1339
688025.SH,20250424,32.6801,2.1311
688025.SH,20250423,33.6687,2.1955
688025.SH,20250422,32.4007,2.1129
688025.SH,20250421,32.5512,2.1227
688025.SH,20250418,31.7489,2.0703
688025.SH,20250417,31.7345,2.0694
688025.SH,20250416,31.7345,2.0694
688025.SH,20250415,33.1744,2.1633
688025.SH,20250414,33.2031,2.1652
688025.SH,20250411,33.0956,2.1582
688025.SH,20250410,31.8706,2.0783
688025.SH,20250409,30.0583,1.9601
688025.SH,20250408,29.2989,1.9106
688025.SH,20250407,29.7072,1.9372
688025.SH,20250403,37.1358,2.4216
688025.SH,20250402,40.7319,2.6561
688025.SH,20250401,40.1804,2.6202
688025.SH,20250331,41.1904,2.686
688025.SH,20250328,41.348,2.6963
688025.SH,20250327,42.4584,2.7687
688025.SH,20250326,40.9039,2.6673
