trade_date,daily_return_portfolio,daily_return_market,cumulative_return_portfolio,cumulative_return_market
20230403,,,,
20230404,0.0,-0.0015785319652722452,0.0,-0.0015785319652722452
20230406,0.0,-0.005533596837944632,0.0,-0.00710339384372527
20230407,0.0,0.0031796502384737746,0.0,-0.003946329913180668
20230410,0.0,0.004754358161648264,0.0,0.0007892659826362891
20230411,0.0,-0.01104100946372244,0.0,-0.010260457774269871
20230412,0.0,-0.004784688995215225,0.0,-0.014996053670086718
20230413,0.0,0.0064102564102563875,0.0,-0.008681925808997515
20230414,0.0,0.010350318471337605,0.0,0.0015785319652723562
20230417,0.0,0.01891252955082745,0.0,0.020520915548539964
20230418,0.0,0.005413766434648082,0.0,0.026045777426992878
20230419,0.0,-0.011538461538461608,0.0,0.01420678768745054
20230420,0.0,-0.0077821011673151474,0.0,0.006314127861088981
20230421,0.0,-0.019607843137254943,0.0,-0.013417521704814805
20230424,0.0,-0.03200000000000003,0.0,-0.04498816101026071
20230425,0.0,0.014876033057851235,0.0,-0.030781373322810057
20230426,0.0,-0.013029315960912058,0.0,-0.04340962904498846
20230427,0.0,0.011551155115511635,0.0,-0.0323599052880823
20230428,0.0,0.023654159869494373,0.0,-0.009471191791633915
20230504,-0.19999999999999996,0.014342629482071656,-0.19999999999999996,0.0047355958958166244
20230505,0.25,0.014139827179890041,0.0,0.018942383583267386
20230508,0.0,0.031758326878388754,0.0,0.051302288871349466
20230509,0.0,-0.012012012012012074,0.0,0.03867403314917106
20230510,0.0,-0.024316109422492405,0.0,0.01341752170481425
20230511,0.0,0.0007788161993769194,0.0,0.014206787687450317
20230512,0.0,-0.01789883268482495,0.0,-0.0039463299131811125
20230515,0.0,0.016640253565768592,0.0,0.012628255722177961
20230516,0.0,-0.016367887763055422,0.0,-0.0039463299131812235
20230517,0.0,-0.010301109350237647,0.0,-0.014206787687451095
20230518,0.0,0.0,0.0,-0.014206787687451095
20230519,0.0,-0.012009607686148893,0.0,-0.026045777426993322
20230522,0.0,0.0032414910858995505,0.0,-0.02288871349644872
20230523,0.0,-0.013731825525040375,0.0,-0.03630623520126319
20230524,0.0,-0.016380016380016515,0.0,-0.05209155485398631
20230525,0.0,-0.006661115736885881,0.0,-0.0584056827150754
20230526,0.0,0.014249790444258226,0.0,-0.04498816101026082
