trade_date,daily_return_portfolio,cumulative_return_portfolio,daily_return_market,cumulative_return_market
2023-04-03,,,,
2023-04-04,0.0,0.0,-0.0015785319652722452,-0.0015785319652722452
2023-04-06,0.0,0.0,-0.005533596837944632,-0.00710339384372527
2023-04-07,0.0,0.0,0.0031796502384737746,-0.003946329913180668
2023-04-10,0.0,0.0,0.004754358161648264,0.0007892659826362891
2023-04-11,0.0,0.0,-0.01104100946372244,-0.010260457774269871
2023-04-12,0.0,0.0,-0.004784688995215225,-0.014996053670086718
2023-04-13,0.0,0.0,0.0064102564102563875,-0.008681925808997515
2023-04-14,0.0,0.0,0.010350318471337605,0.0015785319652723562
2023-04-17,0.0,0.0,0.01891252955082745,0.020520915548539964
2023-04-18,0.0,0.0,0.005413766434648082,0.026045777426992878
2023-04-19,0.0,0.0,-0.011538461538461608,0.01420678768745054
2023-04-20,0.0,0.0,-0.0077821011673151474,0.006314127861088981
2023-04-21,0.0,0.0,-0.019607843137254943,-0.013417521704814805
2023-04-24,0.0,0.0,-0.03200000000000003,-0.04498816101026071
2023-04-25,0.0,0.0,0.014876033057851235,-0.030781373322810057
2023-04-26,0.0,0.0,-0.013029315960912058,-0.04340962904498846
2023-04-27,0.0,0.0,0.011551155115511635,-0.0323599052880823
2023-04-28,0.0,0.0,0.023654159869494373,-0.009471191791633915
2023-05-04,,,0.014342629482071656,0.0047355958958166244
2023-05-05,0.0,0.0,0.014139827179890041,0.018942383583267386
2023-05-08,0.0,0.0,0.031758326878388754,0.051302288871349466
2023-05-09,0.0,0.0,-0.012012012012012074,0.03867403314917106
2023-05-10,0.0,0.0,-0.024316109422492405,0.01341752170481425
2023-05-11,0.0,0.0,0.0007788161993769194,0.014206787687450317
2023-05-12,0.0,0.0,-0.01789883268482495,-0.0039463299131811125
2023-05-15,0.0,0.0,0.016640253565768592,0.012628255722177961
2023-05-16,0.0,0.0,-0.016367887763055422,-0.0039463299131812235
2023-05-17,0.0,0.0,-0.010301109350237647,-0.014206787687451095
2023-05-18,0.0,0.0,0.0,-0.014206787687451095
2023-05-19,0.0,0.0,-0.012009607686148893,-0.026045777426993322
2023-05-22,0.0,0.0,0.0032414910858995505,-0.02288871349644872
2023-05-23,0.0,0.0,-0.013731825525040375,-0.03630623520126319
